Barcode,Number of ears,Total Weight seed_cob,Seed weight 1,Weight of 20 seeds,Average seed weight,Cob weight,Average cob weight,Average cob length,Average cob width,Cob length 1,Cob width 1,Cob length 2,Cob width 2,Cob length 3,Cob width 3,Cob length 4,Cob width 4,Cob length 5,Cob width 5,Cob length 6,Cob width 6,Cob length 7,Cob Width 7,Cob Length 8,Cob width 8,Number of Seeds 1
2018-4085OP_B37xMo17OP,3,435.8,372.5,6.8,187.75,63.3,21.1,207.6666667,25.14,173,24.57,190,25.51,260,25.34,,,,,,,,,,,
2018-4583OP_B73xMo17OP,4,576.3,508.9,5.8,256.45,67.4,16.85,187.5,24,190,25,205,23,155,23,200,25,,,,,,,,,
2018-3387OP_W22OP,4,64.5,23.7,4.1,13.85,40.8,10.2,102,22.4475,109,22.33,136,24.68,70,20.08,93,22.7,,,,,,,,,
2018-4479OP_Mo17OP,4,248.6,210.9,6.4,107.45,37.7,9.425,147,20.585,130,20.34,160,21,133,20,165,21,,,,,,,,,
2018-2065OP_B73xMo17OP,2,296,258.4,5.8,130.2,37.6,18.8,175.5,25.44,171,25.58,180,25.3,,,,,,,,,,,,,
2018-1403OP_B73xMo17OP,3,388.9,336.2,5.9,169.6,52.7,17.56666667,171.6666667,25.33333333,185,26,150,23,180,27,,,,,,,,,,,
2018-4191OP_B73xMo17OP,3,443.3,381.2,5,192.1,62.1,20.7,187.3333333,24.16333333,194,25.4,183,24.67,185,22.42,,,,,,,,,,,
2018-4337OP_B73xMo17OP,3,615,546.3,6.8,274.65,68.7,22.9,204,24.97,191,24.29,194,25.41,227,25.21,,,,,,,,,,,
2018-4157OP_B73xMo17OP,3,530.8,473.4,5.6,238.2,57.4,19.13333333,198.3333333,26.45666667,192,26,220,26.37,183,27,,,,,,,,,,,
2018-2491OP_B37xMo17OP,4,164.4,112.1,7.1,58.05,52.3,13.075,141.75,21.2625,115,19,147,24.9,170,21.47,135,19.68,,,,,,,,,
2018-2253OP_B37xMo17OP,5,414.2,346.2,4.5,175.6,68,13.6,139.4,24.55,138,23.8,140,24.21,134,25.5,179,25.14,106,24.1,,,,,,,
2018-1511OP_B84OP,4,166.4,113.4,4.6,58.7,53,13.25,116.5,24.2375,109,21.86,116,24.87,132,24.52,109,25.7,,,,,,,,,
2018-2467OP_Mo17OP,4,198.6,166.2,6.1,85.1,32.4,8.1,147,19.765,140,20.69,165,20.37,133,19,150,19,,,,,,,,,
2018-2245OP_B73xMo17OP,4,374.2,319.6,6.1,161.8,54.6,13.65,156.75,24,164,25,152,23,156,24,155,24,,,,,,,,,
2018-1305OP_B73OP,4,110.3,78.9,4.2,41.45,31.4,7.85,96.5,24.25,86,25,83,23,100,22,117,27,,,,,,,,,
2018-3201OP_A619OP,4,193.3,160.8,3.8,82.4,32.5,8.125,115,26.6175,133,23.54,135,27.66,107,27.2,85,28.07,,,,,,,,,
2018-1161OP_A619OP,3,97,76.5,2.4,39.75,20.5,6.833333333,109.3333333,23.66666667,123,23,93,25,112,23,,,,,,,,,,,
2018-3305OP_B73OP,3,160.1,129.8,3.6,66.4,30.3,10.1,107.3333333,27.1,127,28.75,94,26.31,101,26.24,,,,,,,,,,,
2018-2333OP_B73xMo17OP,3,328.5,280.5,6.1,141.75,48,16,162,24,156,24,185,26,145,22,,,,,,,,,,,
2018-3187OP_B37xMo17OP,3,578.3,502.2,6.6,252.6,76.1,25.36666667,208,26.33333333,216,27,236,28,172,24,,,,,,,,,,,
2018-3477OP_K55OP,2,188.1,162.9,4.8,82.45,25.2,12.6,146.8,22.5,168,23.9,125.6,21.1,,,,,,,,,,,,,
2018-3167OP_B37xMo17OP,4,264.3,214.5,6.2,109.25,49.8,12.45,127.25,22.9,180,26.6,126,21,95,24,108,20,,,,,,,,,
2018-2211OP_B73xMo17OP,3,507.7,435.9,6.5,219.45,71.8,23.93333333,176.6666667,25.66666667,166,25,166,25,198,27,,,,,,,,,,,
2018-3135OP_NC308OP,4,113.7,75.2,5.6,39.6,38.5,9.625,105.25,22.1425,101,19.63,99,22.37,105,20.4,116,26.17,,,,,,,,,
2018-1257OP_B75OP,1,13.4,14.1,5.1,7.55,-0.7,-0.7,83.82,15.68,83.82,15.68,,,,,,,,,,,,,,,
2018-1371OP_B37xMo17OP,4,467.4,370.1,6.8,187.05,97.3,24.325,204.25,25.9825,202,26.48,195,26.45,215,27,205,24,,,,,,,,,
2018-4461OP_B37OP,4,245.1,178.4,5.5,91.2,66.7,16.675,133,23.75,122,20,140,24,150,26,120,25,,,,,,,,,
2018-4145OP_W22OP,3,107,72,4.5,37.5,35,11.66666667,114.3333333,23.06666667,85,23.5,125,21.7,133,24,,,,,,,,,,,
2018-2109OP_B37xMo17OP,3,289.6,218.4,7.2,110.7,71.2,23.73333333,163.5666667,24.59333333,191,26.22,148.37,23.94,151.33,23.62,,,,,,,,,,,
2018-1069OP_B37xMo17OP,3,444.3,376.5,5.7,189.75,67.8,22.6,203.3333333,26,202,27,198,25,210,26,,,,,,,,,,,
2018-1187OP_NC308OP,3,93.7,70.8,4.9,36.9,22.9,7.633333333,109.3333333,22.44333333,100,23,117,22.48,111,21.85,,,,,,,,,,,
2018-1331OP_B37xMo17OP,3,527.2,446.2,6.3,224.6,81,27,214.3333333,27.03666667,215,26.73,217,25.57,211,28.81,,,,,,,,,,,
2018-1483OP_W22OP,1,65,57.4,2.5,29.2,7.6,7.6,125,27.13,125,27.13,,,,,,,,,,,,,,,
2018-3215OP_B73xMo17OP,4,332.9,279.1,6.7,141.55,53.8,13.45,146.75,23.75,117,22,170,25,150,23,150,25,,,,,,,,,
2018-3165OP_B73xMo17OP,4,359.3,315.7,5,159.85,43.6,10.9,149.75,22.5,151,22,135,23,161,22,152,23,,,,,,,,,
2018-4003OP_B37xMo17OP,3,322.3,277.1,5.8,140.05,45.2,15.06666667,176.6666667,24.07333333,165,23.69,192,23.53,173,25,,,,,,,,,,,
2018-2349OP_B73OP,2,71.3,57.9,3.7,29.95,13.4,6.7,93.5,23.8,77,27.6,110,20,,,,,,,,,,,,,
2018-2233OP_B37xMo17OP,3,270.4,214.3,6.6,108.65,56.1,18.7,155.3333333,24.33333333,203,27,167,26,96,20,,,,,,,,,,,
2018-2579OP_B73xMo17OP,3,331.6,287.6,5.9,145.3,44,14.66666667,170.3333333,25.46333333,195,28.18,155,25.24,161,22.97,,,,,,,,,,,
2018-4315OP_B73xMo17OP,3,409.2,367.3,4.1,185.15,41.9,13.96666667,178,22.33333333,174,22,178,22,182,23,,,,,,,,,,,
2018-4067OP_B73xMo17OP,3,628.2,565.9,6.5,284.45,62.3,20.76666667,211.3333333,26.33333333,210,26,210,27,214,26,,,,,,,,,,,
2018-3127OP_CM37OP,5,195.2,161.3,4.5,83.15,33.9,6.78,98.354,23.026,88.98,20.41,117.69,20.58,54.39,22.24,107.45,16.88,123.26,17.86,94.03,17.16,,,,,
2018-1363OP_B73xMo17OP,4,509.6,442.2,4.9,223.1,67.4,16.85,169.75,23.7175,180,23.18,175,23.72,163,24.39,161,23.58,,,,,,,,,
2018-1065OP_B73xMo17OP,3,553.5,495,4.9,249,58.5,19.5,195.6666667,25.08666667,192,25.3,185,24.95,210,25.01,,,,,,,,,,,
2018-1263OP_B37xMo17OP,3,409.4,319.9,8.1,161.45,89.5,29.83333333,192.6666667,27.48,193,30,210,27,175,25.44,,,,,,,,,,,
2018-3025OP_B37xMo17OP,3,332.4,277.5,5.5,140.25,54.9,18.3,171.6666667,26.06666667,205,26.5,170,26.9,140,24.8,,,,,,,,,,,
2018-3039OP_B37xMo17OP,3,298.5,255.1,6.2,129.05,43.4,14.46666667,175.6666667,26,173,25,163,28,191,25,,,,,,,,,,,
2018-4541OP_B37xMo17OP,3,421.7,359.1,5.6,181.05,62.6,20.86666667,193,24.49333333,195,24.46,190,24.64,194,24.38,,,,,,,,,,,
2018-3417OP_B73xMo17OP,4,332,286.9,6.1,145.45,45.1,11.275,146.935,23.17,160,26.69,132.14,22.43,131.6,20.86,164,22.7,,,,,,,,,
2018-4569OP_B73xMo17OP,4,715.8,636.4,5.6,320.2,79.4,19.85,194.25,26.4975,171,26.7,200,28.26,200,24.6,206,26.43,,,,,,,,,
2018-3433OP_B73xMo17OP,4,388.9,330,5.1,167,58.9,14.725,162.25,24.7675,168,24.94,156,26.4,166,23.6,159,24.13,,,,,,,,,
2018-3349OP_B73xMo17OP,4,661.1,573.6,6.1,288.8,87.5,21.875,199.75,24.025,229,26,220,26,168,22,182,22.1,,,,,,,,,
2018-1335OP_B73xMo17OP,3,678.2,611.4,6.8,307.2,66.8,22.26666667,204,26.66666667,210,28,220,26,182,26,,,,,,,,,,,
2018-1323OP_Mo17OP,4,192.2,163.8,4.5,83.9,28.4,7.1,148.75,19.5725,123,20.67,162,19,165,19,145,19.62,,,,,,,,,
2018-4231OP_B73xMo17OP,3,600.4,532.7,5.6,267.85,67.7,22.56666667,220,26.45333333,198,27.15,230,27.18,232,25.03,,,,,,,,,,,
2018-4209OP_B73xMo17OP,3,504.1,447.8,4.6,225.4,56.3,18.76666667,189.3333333,25.25,193,25.31,184,24.3,191,26.14,,,,,,,,,,,
2018-4517OP_B37xMo17OP,3,449.2,381.1,5.1,192.05,68.1,22.7,213.3333333,23.47,235,22.75,205,24.58,200,23.08,,,,,,,,,,,
2018-3149OP_CML108OP,2,24.7,4.3,3.8,3.15,20.4,10.2,112,22.645,103,20.89,121,24.4,,,,,,,,,,,,,
2018-1129OP_B73xMo17OP,4,558.2,486.8,5.3,245.4,71.4,17.85,186.5,26.91,185,26,181,26.8,200,27.84,180,27,,,,,,,,,
2018-3105OP_B37xMo17OP,4,277.1,229.7,6.2,116.85,47.4,11.85,154.25,22.92,164,23.1,160,23,133,20.19,160,25.39,,,,,,,,,
2018-1109OP_B73xMo17OP,3,290.8,250.6,4.9,126.8,40.2,13.4,156.6666667,25.05666667,163,22.17,173,24,134,29,,,,,,,,,,,
2018-1315OP_B37OP,5,52.4,15.9,4.6,10.45,36.5,7.3,112.8,18.2,94,14,130,19,135,21,88,18,117,19,,,,,,,
2018-4555OP_B84OP,5,392.7,309,5,157,83.7,16.74,134.98,25.604,134,25.95,118,25.27,148.9,25.64,151,24.36,123,26.8,,,,,,,
2018-4525OP_B73xMo17OP,3,519.3,454,4.2,228.5,65.3,21.76666667,203.6666667,25.03,230,27.38,186,22.71,195,25,,,,,,,,,,,
2018-4237OP_B73xMo17OP,3,597.2,538.8,5,270.9,58.4,19.46666667,216.6666667,25.14333333,230,24.47,209,25.12,211,25.84,,,,,,,,,,,
2018-3367OP_B37xMo17OP,3,463.1,398.1,5.1,200.55,65,21.66666667,204,26.37666667,220,25.82,180,25.66,212,27.65,,,,,,,,,,,
2018-3055OP_B37xMo17OP,3,589.6,511,6.6,257,78.6,26.2,196.3333333,25.66666667,210,26,139,22,240,29,,,,,,,,,,,
2018-3383OP_B37xMo17OP,5,391.2,319.3,6.6,162.15,71.9,14.38,227.4,23.776,175,23.67,439,25.3,171,24.66,184,24.4,168,20.85,,,,,,,
2018-2523OP_B73xMo17OP,3,477.7,422.4,5.1,212.7,55.3,18.43333333,192.3333333,25.43333333,219,24.1,178,27,180,25.2,,,,,,,,,,,
2018-2581OP_B73xMo17OP,3,346.7,304.6,5.5,153.8,42.1,14.03333333,170.3333333,25.02666667,161,24.3,169,24.83,181,25.95,,,,,,,,,,,
2018-1395OP_B37xMo17OP,3,489.2,412,7,207.5,77.2,25.73333333,210,26.17666667,205,26.32,240,26.56,185,25.65,,,,,,,,,,,
2018-2505OP_CML108OP,4,175.1,142,3.6,73,33.1,8.275,133.25,21.1125,130,21.52,148,22.91,105,19.25,150,20.77,,,,,,,,,
2018-3283OP_B73xMo17OP,3,374.9,332,6,167.5,42.9,14.3,177.6666667,25.28,171,25.46,191,24.7,171,25.68,,,,,,,,,,,
2018-3447OP_B37xMo17OP,4,366.5,305.1,5.8,154.55,61.4,15.35,147.25,26.115,158,25.46,96,26,145,26,190,27,,,,,,,,,
2018-4351OP_B73OP,5,170.8,131.3,4,68.15,39.5,7.9,100.4,25.096,113,25.2,103,26.52,94,25,109,26.76,83,22,,,,,,,
2018-3051OP_B73xMo17OP,3,345.7,295.9,4.7,149.45,49.8,16.6,171.6666667,25.32,171,25.46,172,24,172,26.5,,,,,,,,,,,
2018-2561OP_B37xMo17OP,3,558.9,477.9,6,240.45,81,27,206.6666667,28.33333333,220,27,200,29,200,29,,,,,,,,,,,
2018-3183OP_NC366OP,4,151,97,6.7,50.5,54,13.5,127.7725,22.4975,133.03,21.3,118.18,22.8,145.81,26.7,114.07,19.19,,,,,,,,,
2018-2167OP_NC230OP,2,140.2,90.2,7.6,46.1,50,25,16.95,24.55,20.5,24.9,13.4,24.2,,,,,,,,,,,,,
2018-1035OP_Tzi25OP,4,160.4,92.8,6.5,48.4,67.6,16.9,143.245,24.24,126.36,24.35,125.09,23.71,151.53,24.66,170,24.24,,,,,,,,,
2018-2331OP_NC296OP,1,23.3,19.3,4.6,10.15,4,4,76.3,18.23,76.3,18.23,,,,,,,,,,,,,,,
2018-1167OP_Mo47OP,4,157.2,121.3,3.7,62.65,35.9,8.975,108.84,21.6425,94.91,20.5,108.95,21.04,97.66,22.02,133.84,23.01,,,,,,,,,
2018-1121OP_NC318OP,5,74.4,50.9,3.3,27.95,23.5,4.7,103.078,15.648,89.28,14.45,103.59,14.98,119.84,16.28,101.88,15.42,100.8,17.11,,,,,,,
2018-3189OP_Pa91OP,3,180.1,144.1,4.5,73.55,36,12,113.0066667,24.78,116.38,23.41,114.11,25.05,108.53,25.88,,,,,,,,,,,
2018-3075OP_PHW30OP,5,239.5,193.4,4.4,99.2,46.1,9.22,95.888,22.644,99.22,22.12,110.46,23.32,92.85,24.59,80.87,21.55,96.04,21.64,,,,,,,
2018-4239OP_Va85OP,4,137.9,80.8,6.7,42.4,57.1,14.275,146.2875,20.39,136.47,22.38,132.36,16.88,140.32,21.69,176,20.61,,,,,,,,,
2018-3129OP_M14OP,2,63.7,60.7,3.7,31.35,3,1.5,7.7,18.7,9,21.8,6.4,15.6,,,,,,,,,,,,,
2018-3145OP_Yu796_NSOP,4,157,133.9,3.3,68.95,23.1,5.775,99.3675,18.7175,101.85,18.6,93.56,17.79,102.03,17.95,100.03,20.53,,,,,,,,,
2018-1157OP_ML606OP,3,152.5,115.1,3.6,59.05,37.4,12.46666667,122.45,23.17333333,113.47,24.98,128.03,22.39,125.85,22.15,,,,,,,,,,,
2018-2577OP_NC294OP,3,69.2,43.8,4.6,23.4,25.4,8.466666667,102.94,22.84,114.13,24.86,119.93,22.51,74.76,21.15,,,,,,,,,,,
2018-2311OP_MBPMOP,3,73.5,44.8,4.9,23.9,28.7,9.566666667,12.73333333,19.99666667,12.7,21.46,12,19.65,13.5,18.88,,,,,,,,,,,
2018-4573OP_Mo44OP,3,84.7,52.5,5.2,27.75,32.2,10.73333333,134.7533333,18.71666667,142.62,21.57,132.48,20.21,129.16,14.37,,,,,,,,,,,
2018-4423OP_PHT10OP,2,67.4,49.3,5.3,25.65,18.1,9.05,12.8,23.05,14.2,23.4,11.4,22.7,,,,,,,,,,,,,
2018-4577OP_I198OP,2,69.6,55.2,4.2,28.6,14.4,7.2,113.145,20.625,116.79,22.15,109.5,19.1,,,,,,,,,,,,,
2018-3403OP_8M129OP,1,21.3,14.8,2.3,7.9,6.5,6.5,9,22.28,9,22.28,,,,,,,,,,,,,,,
2018-4307OP_A659OP,4,120.5,77.6,3.9,40.8,42.9,10.725,120.1975,27.82,118.84,21.9,104.79,22.32,103.32,22.72,64.1,20,89.74,24.34,,,,,,,
2018-4311OP_B103OP,5,169.9,122.2,5,63.6,47.7,9.54,124.462,20.77,111.83,18.62,127.9,22.43,135.8,21.98,112.81,18.22,133.97,22.6,,,,,,,
2018-2011OP_A661OP,3,105.3,61.7,3.1,32.35,43.6,14.53333333,11.23333333,21.07333333,12.5,23.76,10.5,18.58,10.7,20.88,,,,,,,,,,,
2018-2593OP_Va22OP,3,78.2,47.6,4.9,25.3,30.6,10.2,128.7266667,18.99,122.99,16.11,140.81,20.16,122.38,20.7,,,,,,,,,,,
2018-1457OP_B57OP,3,165.4,125.5,6.4,64.25,39.9,13.3,103.2433333,24.47,94.38,21.84,98.67,27.02,116.68,24.55,,,,,,,,,,,
2018-4325OP_H99OP,5,169.4,118.3,4.6,61.65,51.1,10.22,12.64,20.968,12,20.63,14,21.97,11.7,19.95,12.5,18.63,13,23.66,,,,,,,
2018-1319OP_NC348OP,3,61.3,36.8,5.4,19.9,24.5,8.166666667,11.2,20.21333333,10.3,19.1,12.3,23.76,11,17.78,,,,,,,,,,,
2018-4221OP_NC250OP,4,147.4,90.9,5,47.45,56.5,14.125,105.8325,23.5225,89.65,23.87,112.45,23.97,98.9,24.93,122.33,21.32,,,,,,,,,
2018-1461OP_LH39OP,3,223.3,182,4.2,92.5,41.3,13.76666667,137.8166667,24.53666667,109.41,22.91,151.57,25.88,152.47,24.82,,,,,,,,,,,
2018-3125OP_CM105OP,4,117.7,80.9,2.2,42.45,36.8,9.2,106.87,24.1325,111.93,23.93,106.74,25.56,92.3,23.34,116.51,23.7,,,,,,,,,
2018-3547OP_Wf9OP,4,117.7,94.7,4.9,49.35,23,5.75,89.01,18.45,101.91,23.67,86.41,13.02,86.85,20.24,80.87,16.87,,,,,,,,,
2018-2471OP_Mo45OP,4,165,112.4,4,58.2,52.6,13.15,138.0475,22.1725,126.04,23.51,130.65,22.25,131.5,22.99,164,19.94,,,,,,,,,
2018-4529OP_CO255OP,4,213,178.3,3.7,91.15,34.7,8.675,121.7125,22.895,123.56,23.72,121.19,20.46,126.66,23.12,115.44,24.28,,,,,,,,,
2018-3503OP_CI64OP,5,95.7,55.8,3.9,30.4,39.9,7.98,101.648,21.284,96.19,24.05,90.07,22.07,114.84,25.25,129.25,14.71,77.89,20.34,,,,,,,
2018-1343OP_SD40OP,4,197.6,175.7,3.6,89.85,21.9,5.475,10.55,20.325,9.6,20.6,8.4,20.5,12,19.4,12.2,20.8,,,,,,,,,
2018-3209OP_B103OP,4,125.6,86.5,4.1,45.25,39.1,9.775,88.52,22.815,88.77,21.87,87.45,23.16,91.53,23.01,86.33,23.22,,,,,,,,,
2018-3115OP_A239OP,5,143.6,111,3.9,58,32.6,6.52,105.328,19.92,99.85,19.73,97.19,20.44,110.73,19.85,114.84,20.97,104.03,18.61,,,,,,,
2018-2571OP_LH224OP,5,145.4,103.7,5.3,54.35,41.7,8.34,120.528,19.356,139.75,17.66,124.37,21.13,95.34,17.64,106.41,19.23,136.77,21.12,,,,,,,
2018-4335OP_W153ROP,4,129.3,109.1,2.8,56.55,20.2,5.05,94.6275,19.6325,103.62,20.68,98.95,20.82,96.18,17.95,79.76,19.08,,,,,,,,,
2018-3085OP_Mo1WOP,3,170.7,142.5,4,72.75,28.2,9.4,82.78333333,28.46,102.63,28.61,75.33,29.77,70.39,27,,,,,,,,,,,
2018-4527OP_MS1334OP,4,206.7,154.8,3.1,79.4,51.9,12.975,127.64,23.5275,129.65,23.8,125.6,24.11,115.35,22.56,139.96,23.64,,,,,,,,,
2018-4589OP_F2OP,3,246.6,148.9,5.5,75.95,97.7,32.56666667,150.5,26.17333333,137.61,25.77,140.89,25.79,173,26.96,,,,,,,,,,,
2018-4353OP_B164OP,3,205.6,164.2,4.7,83.6,41.4,13.8,151.3033333,21.89333333,143.32,24.26,140.59,20.06,170,21.36,,,,,,,,,,,
2018-4401OP_2MA22OP,4,174.4,130,4.8,67,44.4,11.1,113.2775,21.4025,118.39,21.74,128.49,20.31,91.64,23.96,114.59,19.6,,,,,,,,,
2018-2157OP_HP301OP,2,22.7,12.3,2.1,7.15,10.4,5.2,11.25,16.305,9,13.55,13.5,19.06,,,,,,,,,,,,,
2018-1289OP_NC332OP,4,38.1,17.6,4.3,10.8,20.5,5.125,110.225,15.0125,101.19,15.58,112.7,14.7,120.03,15.12,106.98,14.65,,,,,,,,,
2018-1579OP_NC290AOP,3,128,90.4,6.1,46.7,37.6,12.53333333,107.8733333,26.78,108.11,25.07,113.28,25.54,102.23,29.73,,,,,,,,,,,
2018-2439OP_2FACCOP,4,214.6,172.5,4.9,88.25,42.1,10.525,102.1975,25.87,77.13,22.91,125.64,26.9,110.83,28.51,95.19,25.16,,,,,,,,,
2018-3185OP_Tzi11OP,2,42.5,29.1,4.2,15.55,13.4,6.7,95.045,23.425,108.08,21.09,82.01,25.76,,,,,,,,,,,,,
2018-4379OP_NC258OP,5,77.3,29,4.3,17,48.3,9.66,106.894,20.728,104.18,21.6,151.27,18.2,92.34,19.84,85.2,20.39,101.48,23.61,,,,,,,
2018-2025OP_CM7OP,3,67.1,50.3,4.4,26.65,16.8,5.6,97.83,18.73666667,98.42,20.32,84.2,18.64,110.87,17.25,,,,,,,,,,,
2018-4391OP_Va22OP,4,185.4,136.2,4.9,70.1,49.2,12.3,133.1275,21.385,142.53,22.87,151.19,19.3,128.4,21.4,110.39,21.97,,,,,,,,,
2018-2327OP_K64OP,2,59.8,48.6,3,25.3,11.2,5.6,107.03,19.865,77.75,20.37,136.31,19.36,,,,,,,,,,,,,
2018-3087OP_Tzi25OP,4,181.1,125.9,6.5,64.95,55.2,13.8,133.015,22.875,155,23.83,118.27,23.77,144.71,23.57,114.08,20.33,,,,,,,,,
2018-3175OP_NC320OP,4,204.4,174.5,5.4,89.25,29.9,7.475,109.2375,21.1075,96.96,19.25,98.53,20.51,115.89,22.1,125.57,22.57,,,,,,,,,
2018-4419OP_LH51OP,4,282.4,244.8,6.2,124.4,37.6,9.4,146.755,19.345,124.99,22.73,152.03,19.45,133,15.26,177,19.94,,,,,,,,,
2018-1477OP_NC264OP,4,212.4,174.3,5,89.15,38.1,9.525,104.8325,23.245,117.24,22.48,118.34,23.7,97.57,24.7,86.18,22.1,,,,,,,,,
2018-3181OP_Ms71OP,5,179.3,137.3,3.1,71.15,42,8.4,110.048,20.756,104.89,20,83.39,19.72,116.87,22.56,117.39,20.49,127.7,21.01,,,,,,,
2018-3161OP_CML228OP,1,12.3,8.2,4.4,4.6,4.1,4.1,115.98,20.03,115.98,20.03,,,,,,,,,,,,,,,
2018-1369OP_NC350OP,3,60.7,39.5,4.6,21.25,21.2,7.066666667,104.9633333,19.94666667,93.24,18.12,117.87,20.99,103.78,20.73,,,,,,,,,,,
2018-2455OP_B109OP,1,21.6,14.8,4.5,7.9,6.8,6.8,115.25,23.39,115.25,23.39,,,,,,,,,,,,,,,
2018-3587OP_NS501OP,5,104.9,84.7,3.3,44.85,20.2,4.04,96.248,19.212,111.24,20.62,87.74,17.29,100.73,20.75,81.3,19.21,100.23,18.19,,,,,,,
2018-1293OP_N6OP,3,213.6,180.9,3.7,91.95,32.7,10.9,136.53,22.74333333,138.98,23.9,85.61,18.68,185,25.65,,,,,,,,,,,
2018-4395OP_33-16OP,4,106.9,66.9,5.3,35.45,40,10,138.015,23.5725,61.93,15.95,90.33,20.24,118.14,18.73,135.32,18.1,146.34,21.27,,,,,,,
2018-1005OP_CML287OP,1,12.7,4.8,1.7,2.9,7.9,7.9,11,19.35,11,19.35,,,,,,,,,,,,,,,
2018-1593OP_Pa875OP,1,14,9,3.6,5,5,5,74,13.13,74,13.13,,,,,,,,,,,,,,,
2018-4575OP_NC348OP,4,141.9,104.3,4.9,54.15,37.6,9.4,123.39,18.405,127.63,18.89,118.21,18.35,119.75,17.3,127.97,19.08,,,,,,,,,
2018-3177OP_K4OP,1,25.5,15.4,4.2,8.2,10.1,10.1,93.51,21.77,93.51,21.77,,,,,,,,,,,,,,,
2018-2317OP_PHR61OP,3,86.3,50.5,6.3,26.75,35.8,11.93333333,12.16666667,21.54,10.7,21.84,12.4,21.89,13.4,20.89,,,,,,,,,,,
2018-1175OP_CMV3OP,5,205.2,172.9,3.3,88.95,32.3,6.46,103.714,23.898,121.3,23.36,95.07,23.95,81.58,23.43,105.19,22.89,115.43,25.86,,,,,,,
2018-3509OP_B77OP,4,98.2,48.7,4.9,26.35,49.5,12.375,135.0525,21.965,126.89,20.46,156,24.83,89.32,18.15,168,24.42,,,,,,,,,
2018-4511OP_CH9OP,6,225.9,145,6.5,75.5,80.9,13.48333333,91.46666667,24.91666667,108.6,26.3,95.6,23,106.9,24.9,107,25.5,130.7,24.8,109,25,,,,,
2018-3437OP_NC368OP,4,192.6,140.2,7.2,72.1,52.4,13.1,79.3,28.15,78.4,28.3,80,27.5,66.8,28.3,92,28.5,,,,,,,,,
2018-1089OP_W182BOP,5,229.3,163,3.4,84,66.3,13.26,148,20.18,150,19.9,139,22.2,174,19.1,125,20.2,152,19.5,,,,,,,
2018-3459OP_I137TNOP,1,78,59.1,3.4,30.05,18.9,18.9,133.8,23.1,133.8,23.1,,,,,,,,,,,,,,,
2018-3453OP_HP301OP,4,66.7,33.3,1.5,18.65,33.4,8.35,113.85,20.25,118.8,21.7,104.6,20.3,117.7,18.3,114.3,20.7,,,,,,,,,
2018-3089OP_NC268OP,5,179.9,136.9,5.3,70.95,43,8.6,110.26,20.58,77.1,21,103.8,19.8,108.6,20.9,131.7,21.1,130.1,20.1,,,,,,,
2018-4567OP_MM_roothairlessOP,4,110.2,89.1,3.5,46.55,21.1,5.275,65.49,16.9,92.26,22.71,77.37,22.14,92.33,22.75,,,,,,,,,,,
2018-1349OP_Il677aOP,3,120.4,93.6,4.7,48.3,26.8,8.933333333,60.66666667,13.5,121,21.5,61,19,,,,,,,,,,,,,
2018-1417OP_H91OP,2,70.8,56.5,5.1,29.25,14.3,7.15,121.5,20.85,129,20.1,114,21.6,,,,,,,,,,,,,
2018-1415OP_MBWZOP,3,236.1,199.7,4.4,101.35,36.4,12.13333333,125.5833333,24.83666667,111.72,26.16,134.76,24.35,130.27,24,,,,,,,,,,,
2018-1409OP_B77OP,3,48,23.9,5.8,13.45,24.1,8.033333333,120,18.86666667,129,16.1,96,17.8,135,22.7,,,,,,,,,,,
2018-4133OP_Oh7BOP,1,180.9,144.1,6.4,72.55,36.8,36.8,186,24.2,186,24.2,,,,,,,,,,,,,,,
2018-2531OP_CML92OP,3,90.6,75,4.5,39,15.6,5.2,88.73333333,20.46666667,103,20.4,75.2,20.4,88,20.6,,,,,,,,,,,
2018-4405OP_A635OP,5,221,185.6,3.2,95.3,35.4,7.08,126.68,19.28,142,19.4,141,20.4,134,18.9,125.4,19.7,91,18,,,,,,,
2018-1245OP_Tzi9OP,3,266.7,229,6.8,116,37.7,12.56666667,116.6,23.7,142,26.3,80,25.6,127.8,19.2,,,,,,,,,,,
2018-1295OP_VaW6OP,4,166.2,108.9,6.6,56.45,57.3,14.325,147,22.45,151,23.1,168,24.3,148,20,121,22.4,,,,,,,,,
2018-2229OP_MS153OP,3,195.4,96.8,4.2,49.9,98.6,32.86666667,112.6666667,24.92,127,27.76,110,24,101,23,,,,,,,,,,,
2018-3077OP_CML92OP,3,152.2,119.2,4.3,61.1,33,11,120.6666667,23.03333333,59,24,110,26,193,19.1,,,,,,,,,,,
2018-3363OP_B57OP,5,224.7,163.1,5.1,84.05,61.6,12.32,97.714,26.622,97.78,27.55,97.02,27.7,79.57,24.27,95.83,26.89,118.37,26.7,,,,,,,
2018-4095OP_B88OP,5,132.7,79.4,5.5,42.2,53.3,10.66,120.424,13.186,129.86,16.66,152.26,17.75,160,17.9,160,13.62,,,,,,,,,
2018-2115OP_B64OP,1,42.8,38.1,7,19.55,4.7,4.7,114.88,19.47,114.88,19.47,,,,,,,,,,,,,,,
2018-2405OP_CML258OP,5,199.8,166.6,5.6,85.8,33.2,6.64,55.56,11.656,72.56,17.1,100.45,21.4,104.79,19.78,,,,,,,,,,,
